"676226, REGENT CARE CENTER OF SAN MARCOS, 1351 SADLER, SAN MARCOS TX, 78666"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676278, SENIOR CARE OF BROWNWOOD, 2700 MEMORIAL PARK DR, BROWNWOOD TX, 76801"
"676258, MEMORIAL CITY HEALTH AND REHABILITATION CENTER, 1341 BLALOCK, HOUSTON TX, 77055"
"676249, THE CARLYLE AT STONEBRIDGE PARK, 170 STONEBRIDGE LANE, SOUTHLAKE TX, 76092"
"676273, PARK MANOR OF THE WOODLANDS, 1014 WINDSOR LAKE BOULEVARD, THE WOODLANDS TX, 77384"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676271, SENIOR CARE OF ONION CREEK, 1700 ONION CREEK PKWY, AUSTIN TX, 78748"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676250, SCC AT PECAN VALLEY REHABILITATION AND HEALTHCARE, 3838 E SOUTHCROSS BLVD, SAN ANTONIO TX, 78222"
"676256, SAN REMO, 3550 N SHILOH RD, RICHARDSON TX, 75082"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676261, KINGS MANOR METHODIST HOME, 400 RANGER DR, HEREFORD TX, 79045"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676289, THE ATRIUM OF BELLMEAD LLC, 2401 DEVELOPMENT BLVD., BELLMEAD TX, 76705"
"676327, COTTONWOOD CREEK NURSING AND REHABILITATION CENTER, 1500 COTTONWOOD CREEK TRAIL, CEDAR PARK TX, 78613"
"676263, DEERBROOK SKILLED NURSING AND REHAB CENTER, 9250 HUMBLE-WESTFIELD RD, HUMBLE TX, 77338"
"676258, MEMORIAL CITY HEALTH AND REHABILITATION CENTER, 1341 BLALOCK, HOUSTON TX, 77055"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676274, REMARKABLE HEALTHCARE OF SEGUIN, 1339 EASTWOOD DR, SEGUIN TX, 78155"
"676249, THE CARLYLE AT STONEBRIDGE PARK, 170 STONEBRIDGE LANE, SOUTHLAKE TX, 76092"
"676245, PFLUGERVILLE NURSING AND REHABILITATION CENTER, 104 REX KERWIN COURT, PFLUGERVILLE TX, 78660"
"676269, RAYBURN HEALTH CARE & REHABILITATION, 144 BULLDOG AVENUE, JASPER TX, 75951"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676258, MEMORIAL CITY HEALTH AND REHABILITATION CENTER, 1341 BLALOCK, HOUSTON TX, 77055"
"676316, HIGH HOPE CARE CENTER OF BRENHAM, 401 EAST BLUE BELL ROAD, BRENHAM TX, 77833"
"676250, SCC AT PECAN VALLEY REHABILITATION AND HEALTHCARE, 3838 E SOUTHCROSS BLVD, SAN ANTONIO TX, 78222"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676298, SPJST REST HOME NO 2, 8611 MAIN ST, NEEDVILLE TX, 77461"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676271, SENIOR CARE OF ONION CREEK, 1700 ONION CREEK PKWY, AUSTIN TX, 78748"
"676263, DEERBROOK SKILLED NURSING AND REHAB CENTER, 9250 HUMBLE-WESTFIELD RD, HUMBLE TX, 77338"
"676321, WINDSOR NURSING AND REHABILITATION CENTER OF CORPU, 3030 FIG ST, CORPUS CHRISTI TX, 78404"
"676274, REMARKABLE HEALTHCARE OF SEGUIN, 1339 EASTWOOD DR, SEGUIN TX, 78155"
"676289, THE ATRIUM OF BELLMEAD LLC, 2401 DEVELOPMENT BLVD., BELLMEAD TX, 76705"
"676256, SAN REMO, 3550 N SHILOH RD, RICHARDSON TX, 75082"
"676274, REMARKABLE HEALTHCARE OF SEGUIN, 1339 EASTWOOD DR, SEGUIN TX, 78155"
"676267, BRODIE RANCH NURSING & REHAB CENTER, 2101 FRATE BARKER RD, AUSTIN TX, 78748"
"676258, MEMORIAL CITY HEALTH AND REHABILITATION CENTER, 1341 BLALOCK, HOUSTON TX, 77055"
"676272, LEGEND OAKS HEALTHCARE AND REHABILITATION-KYLE, 1640 FAIRWAY, KYLE TX, 78640"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676274, REMARKABLE HEALTHCARE OF SEGUIN, 1339 EASTWOOD DR, SEGUIN TX, 78155"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676263, DEERBROOK SKILLED NURSING AND REHAB CENTER, 9250 HUMBLE-WESTFIELD RD, HUMBLE TX, 77338"
"676257, TRUCARE LIVING CENTERS, 2265 S SYCAMORE ST, PALESTINE TX, 75801"
"676258, MEMORIAL CITY HEALTH AND REHABILITATION CENTER, 1341 BLALOCK, HOUSTON TX, 77055"
"676249, THE CARLYLE AT STONEBRIDGE PARK, 170 STONEBRIDGE LANE, SOUTHLAKE TX, 76092"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676271, SENIOR CARE OF ONION CREEK, 1700 ONION CREEK PKWY, AUSTIN TX, 78748"
"676294, HERITAGE HOUSE AT PARIS REHAB & NURSING, 150 S.E. 47TH STREET, PARIS TX, 75462"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676267, BRODIE RANCH NURSING & REHAB CENTER, 2101 FRATE BARKER RD, AUSTIN TX, 78748"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676252, GRACE CARE CENTER AT VETERANS MEMORIAL, 1424 FALLBROOK DRIVE, HOUSTON TX, 77038"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676271, SENIOR CARE OF ONION CREEK, 1700 ONION CREEK PKWY, AUSTIN TX, 78748"
"676250, SCC AT PECAN VALLEY REHABILITATION AND HEALTHCARE, 3838 E SOUTHCROSS BLVD, SAN ANTONIO TX, 78222"
"676270, BRENTWOOD PLACE FOUR, 3505 S BUCKNER BLVD BLDG 5, DALLAS TX, 75227"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676263, DEERBROOK SKILLED NURSING AND REHAB CENTER, 9250 HUMBLE-WESTFIELD RD, HUMBLE TX, 77338"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676278, SENIOR CARE OF BROWNWOOD, 2700 MEMORIAL PARK DR, BROWNWOOD TX, 76801"
"676260, THE MERIDIAN, 2228 SEAWALL BLVD, GALVESTON TX, 77550"
"676290, SPJST REST HOME 1, 501 E LAKE DR, TAYLOR TX, 76574"
"676298, SPJST REST HOME NO 2, 8611 MAIN ST, NEEDVILLE TX, 77461"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676289, THE ATRIUM OF BELLMEAD LLC, 2401 DEVELOPMENT BLVD., BELLMEAD TX, 76705"
"676250, SCC AT PECAN VALLEY REHABILITATION AND HEALTHCARE, 3838 E SOUTHCROSS BLVD, SAN ANTONIO TX, 78222"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676274, REMARKABLE HEALTHCARE OF SEGUIN, 1339 EASTWOOD DR, SEGUIN TX, 78155"
"676274, REMARKABLE HEALTHCARE OF SEGUIN, 1339 EASTWOOD DR, SEGUIN TX, 78155"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676245, PFLUGERVILLE NURSING AND REHABILITATION CENTER, 104 REX KERWIN COURT, PFLUGERVILLE TX, 78660"
"676246, RIVERSIDE NURSING & REHAB CENTER, 6801 E RIVERSIDE DR, AUSTIN TX, 78741"
"676269, RAYBURN HEALTH CARE & REHABILITATION, 144 BULLDOG AVENUE, JASPER TX, 75951"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676271, SENIOR CARE OF ONION CREEK, 1700 ONION CREEK PKWY, AUSTIN TX, 78748"
"676289, THE ATRIUM OF BELLMEAD LLC, 2401 DEVELOPMENT BLVD., BELLMEAD TX, 76705"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676271, SENIOR CARE OF ONION CREEK, 1700 ONION CREEK PKWY, AUSTIN TX, 78748"
"676252, GRACE CARE CENTER AT VETERANS MEMORIAL, 1424 FALLBROOK DRIVE, HOUSTON TX, 77038"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676303, MIRADOR, 5857 TIMBERGATE DR, CORPUS CHRISTI TX, 78414"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676298, SPJST REST HOME NO 2, 8611 MAIN ST, NEEDVILLE TX, 77461"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676278, SENIOR CARE OF BROWNWOOD, 2700 MEMORIAL PARK DR, BROWNWOOD TX, 76801"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676278, SENIOR CARE OF BROWNWOOD, 2700 MEMORIAL PARK DR, BROWNWOOD TX, 76801"
"676293, MONARCH PAVILION REHABILITATION SUITES, 6825 HARRY HINES BLVD, DALLAS TX, 75235"
"676261, KINGS MANOR METHODIST HOME, 400 RANGER DR, HEREFORD TX, 79045"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676250, SCC AT PECAN VALLEY REHABILITATION AND HEALTHCARE, 3838 E SOUTHCROSS BLVD, SAN ANTONIO TX, 78222"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676258, MEMORIAL CITY HEALTH AND REHABILITATION CENTER, 1341 BLALOCK, HOUSTON TX, 77055"
"676269, RAYBURN HEALTH CARE & REHABILITATION, 144 BULLDOG AVENUE, JASPER TX, 75951"
"676299, SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE, 9801 S 1ST STREET, AUSTIN TX, 78748"
"676324, OAK MANOR NURSING HOME, 1200 FERGUSON ST, NACOGDOCHES TX, 75961"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676256, SAN REMO, 3550 N SHILOH RD, RICHARDSON TX, 75082"
"676291, OAKCREST NURSING AND REHABILITATION CENTER, 9808 CROFFORD LN, AUSTIN TX, 78724"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676350, THE HEIGHTS OF TOMBALL, 27840 JOHNSON ROAD, TOMBALL TX, 77375"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676267, BRODIE RANCH NURSING & REHAB CENTER, 2101 FRATE BARKER RD, AUSTIN TX, 78748"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676253, LEGEND OAKS HEALTHCARE AND REHABILITATION - ENNIS, 1400 MEDICAL CENTER DRIVE, ENNIS TX, 75119"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676256, SAN REMO, 3550 N SHILOH RD, RICHARDSON TX, 75082"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676298, SPJST REST HOME NO 2, 8611 MAIN ST, NEEDVILLE TX, 77461"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676288, LAS PALMAS, 369 MARS DR, COTULLA TX, 78014"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676299, SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE, 9801 S 1ST STREET, AUSTIN TX, 78748"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676269, RAYBURN HEALTH CARE & REHABILITATION, 144 BULLDOG AVENUE, JASPER TX, 75951"
"676267, BRODIE RANCH NURSING & REHAB CENTER, 2101 FRATE BARKER RD, AUSTIN TX, 78748"
"676273, PARK MANOR OF THE WOODLANDS, 1014 WINDSOR LAKE BOULEVARD, THE WOODLANDS TX, 77384"
"676261, KINGS MANOR METHODIST HOME, 400 RANGER DR, HEREFORD TX, 79045"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676298, SPJST REST HOME NO 2, 8611 MAIN ST, NEEDVILLE TX, 77461"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676267, BRODIE RANCH NURSING & REHAB CENTER, 2101 FRATE BARKER RD, AUSTIN TX, 78748"
"676288, LAS PALMAS, 369 MARS DR, COTULLA TX, 78014"
"676253, LEGEND OAKS HEALTHCARE AND REHABILITATION - ENNIS, 1400 MEDICAL CENTER DRIVE, ENNIS TX, 75119"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676259, SHINNERY OAKS COMMUNITY, 711 WEST BROADWAY, DENVER CITY TX, 79323"
"676252, GRACE CARE CENTER AT VETERANS MEMORIAL, 1424 FALLBROOK DRIVE, HOUSTON TX, 77038"
"676249, THE CARLYLE AT STONEBRIDGE PARK, 170 STONEBRIDGE LANE, SOUTHLAKE TX, 76092"
"676318, WINDMILL NURSING & REHAB CENTER, 507 MARTIN LUTHER KING BLVD, LUBBOCK TX, 79403"
"676273, PARK MANOR OF THE WOODLANDS, 1014 WINDSOR LAKE BOULEVARD, THE WOODLANDS TX, 77384"
"676288, LAS PALMAS, 369 MARS DR, COTULLA TX, 78014"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676246, RIVERSIDE NURSING & REHAB CENTER, 6801 E RIVERSIDE DR, AUSTIN TX, 78741"
"676335, BROADMOOR MEDICAL LODGE, 5242 MEDICAL DRIVE, ROCKWALL TX, 75032"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676269, RAYBURN HEALTH CARE & REHABILITATION, 144 BULLDOG AVENUE, JASPER TX, 75951"
"676263, DEERBROOK SKILLED NURSING AND REHAB CENTER, 9250 HUMBLE-WESTFIELD RD, HUMBLE TX, 77338"
"676288, LAS PALMAS, 369 MARS DR, COTULLA TX, 78014"
"676323, THE CRESCENT, 11353 SUGAR PARK LANE, SUGAR LAND TX, 77478"
"676247, SANDY LAKE REHABILITATION AND CARE CENTER, 1410 E SANDY LAKE RD, COPPELL TX, 75019"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676252, GRACE CARE CENTER AT VETERANS MEMORIAL, 1424 FALLBROOK DRIVE, HOUSTON TX, 77038"
"676311, WATKINS-LOGAN-GARRISON TEXAS STATE VETERAN'S HOME, 11466 HONOR LANE, TYLER TX, 75708"
"676257, TRUCARE LIVING CENTERS, 2265 S SYCAMORE ST, PALESTINE TX, 75801"
"676250, SCC AT PECAN VALLEY REHABILITATION AND HEALTHCARE, 3838 E SOUTHCROSS BLVD, SAN ANTONIO TX, 78222"
"676257, TRUCARE LIVING CENTERS, 2265 S SYCAMORE ST, PALESTINE TX, 75801"
"676256, SAN REMO, 3550 N SHILOH RD, RICHARDSON TX, 75082"
"676249, THE CARLYLE AT STONEBRIDGE PARK, 170 STONEBRIDGE LANE, SOUTHLAKE TX, 76092"
"676270, BRENTWOOD PLACE FOUR, 3505 S BUCKNER BLVD BLDG 5, DALLAS TX, 75227"
"676262, THE HEIGHTS OF TYLER, 2650 ELKTON TRAIL, TYLER TX, 75703"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676275, RIDGECREST HEALTHCARE AND REHABILITATION CENTER, 561 E RIDGECREST RD, FORNEY TX, 75126"
"676264, WINCHESTER LODGE HEALTHCARE CENTER, 1112 SMITH DR, ALVIN TX, 77511"
"676258, MEMORIAL CITY HEALTH AND REHABILITATION CENTER, 1341 BLALOCK, HOUSTON TX, 77055"
"676280, ESTRELLA OAKS REHABILITATION AND CARE CENTER, 4011 WILLIAMS DR, GEORGETOWN TX, 78628"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676257, TRUCARE LIVING CENTERS, 2265 S SYCAMORE ST, PALESTINE TX, 75801"
"676246, RIVERSIDE NURSING & REHAB CENTER, 6801 E RIVERSIDE DR, AUSTIN TX, 78741"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676269, RAYBURN HEALTH CARE & REHABILITATION, 144 BULLDOG AVENUE, JASPER TX, 75951"
"676260, THE MERIDIAN, 2228 SEAWALL BLVD, GALVESTON TX, 77550"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676285, REMARKABLE HEALTHCARE OF FORT WORTH, 6649 N RIVERSIDE DR, FORT WORTH TX, 76137"
"676253, LEGEND OAKS HEALTHCARE AND REHABILITATION - ENNIS, 1400 MEDICAL CENTER DRIVE, ENNIS TX, 75119"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676269, RAYBURN HEALTH CARE & REHABILITATION, 144 BULLDOG AVENUE, JASPER TX, 75951"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676288, LAS PALMAS, 369 MARS DR, COTULLA TX, 78014"
"676298, SPJST REST HOME NO 2, 8611 MAIN ST, NEEDVILLE TX, 77461"
"676256, SAN REMO, 3550 N SHILOH RD, RICHARDSON TX, 75082"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676250, SCC AT PECAN VALLEY REHABILITATION AND HEALTHCARE, 3838 E SOUTHCROSS BLVD, SAN ANTONIO TX, 78222"
"676315, THE HILLCREST OF NORTH DALLAS, 18648 HILLCREST RD, DALLAS TX, 75252"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676288, LAS PALMAS, 369 MARS DR, COTULLA TX, 78014"
"676293, MONARCH PAVILION REHABILITATION SUITES, 6825 HARRY HINES BLVD, DALLAS TX, 75235"
"676274, REMARKABLE HEALTHCARE OF SEGUIN, 1339 EASTWOOD DR, SEGUIN TX, 78155"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676269, RAYBURN HEALTH CARE & REHABILITATION, 144 BULLDOG AVENUE, JASPER TX, 75951"
"676258, MEMORIAL CITY HEALTH AND REHABILITATION CENTER, 1341 BLALOCK, HOUSTON TX, 77055"
"676261, KINGS MANOR METHODIST HOME, 400 RANGER DR, HEREFORD TX, 79045"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676249, THE CARLYLE AT STONEBRIDGE PARK, 170 STONEBRIDGE LANE, SOUTHLAKE TX, 76092"
"676261, KINGS MANOR METHODIST HOME, 400 RANGER DR, HEREFORD TX, 79045"
"676256, SAN REMO, 3550 N SHILOH RD, RICHARDSON TX, 75082"
"676273, PARK MANOR OF THE WOODLANDS, 1014 WINDSOR LAKE BOULEVARD, THE WOODLANDS TX, 77384"
"676278, SENIOR CARE OF BROWNWOOD, 2700 MEMORIAL PARK DR, BROWNWOOD TX, 76801"
"676245, PFLUGERVILLE NURSING AND REHABILITATION CENTER, 104 REX KERWIN COURT, PFLUGERVILLE TX, 78660"
"676250, SCC AT PECAN VALLEY REHABILITATION AND HEALTHCARE, 3838 E SOUTHCROSS BLVD, SAN ANTONIO TX, 78222"
"676318, WINDMILL NURSING & REHAB CENTER, 507 MARTIN LUTHER KING BLVD, LUBBOCK TX, 79403"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676258, MEMORIAL CITY HEALTH AND REHABILITATION CENTER, 1341 BLALOCK, HOUSTON TX, 77055"
"676246, RIVERSIDE NURSING & REHAB CENTER, 6801 E RIVERSIDE DR, AUSTIN TX, 78741"
"676266, LONGHORN VILLAGE, 12001 LONGHORN PARKWAY, AUSTIN TX, 78732"
"676273, PARK MANOR OF THE WOODLANDS, 1014 WINDSOR LAKE BOULEVARD, THE WOODLANDS TX, 77384"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676246, RIVERSIDE NURSING & REHAB CENTER, 6801 E RIVERSIDE DR, AUSTIN TX, 78741"
"676255, FORT WORTH CENTER OF REHABILITATION, 850 12TH AVENUE, FORT WORTH TX, 76104"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676272, LEGEND OAKS HEALTHCARE AND REHABILITATION-KYLE, 1640 FAIRWAY, KYLE TX, 78640"
"676314, LA HACIENDA NURSING & REHAB CENTER, 3730 W. OREM DRIVE, HOUSTON TX, 77045"
"676257, TRUCARE LIVING CENTERS, 2265 S SYCAMORE ST, PALESTINE TX, 75801"
"676292, LULING CARE CENTER, 501 W AUSTIN ST, LULING TX, 78648"
"676244, GRACE CARE CENTER AT NORTHPOINTE, 11830 NORTHPOINTE BOULEVARD, TOMBALL TX, 77377"
"676272, LEGEND OAKS HEALTHCARE AND REHABILITATION-KYLE, 1640 FAIRWAY, KYLE TX, 78640"
"676247, SANDY LAKE REHABILITATION AND CARE CENTER, 1410 E SANDY LAKE RD, COPPELL TX, 75019"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676297, THE RIO AT MISSION TRAILS, 6211 S NEW BRAUNFELS AVE, SAN ANTONIO TX, 78223"
"676262, THE HEIGHTS OF TYLER, 2650 ELKTON TRAIL, TYLER TX, 75703"
"676253, LEGEND OAKS HEALTHCARE AND REHABILITATION - ENNIS, 1400 MEDICAL CENTER DRIVE, ENNIS TX, 75119"
"676258, MEMORIAL CITY HEALTH AND REHABILITATION CENTER, 1341 BLALOCK, HOUSTON TX, 77055"
"676298, SPJST REST HOME NO 2, 8611 MAIN ST, NEEDVILLE TX, 77461"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676268, VILLAGES OF LAKE HIGHLANDS, 8615 LULLWATER DR, DALLAS TX, 75238"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676253, LEGEND OAKS HEALTHCARE AND REHABILITATION - ENNIS, 1400 MEDICAL CENTER DRIVE, ENNIS TX, 75119"
"676263, DEERBROOK SKILLED NURSING AND REHAB CENTER, 9250 HUMBLE-WESTFIELD RD, HUMBLE TX, 77338"
